,,,Dollars,Dollars,90th,90th
,,,sum,count,sum,count
Timothy Taylor,NH,no,33.0,1,41.0,1
Volkert Veeder,NY,no,691.0,5,134,3
Wait Goodrich,CT,yes,6.0,1,23.0,1
Walter Smith,MD,yes,360.0,4,92.0,2
William Abbott,NH,yes,770.0,2,0,0
William Brown,PA,no,7896.0,132,5572.0,121
William Butler,SC,no,10622.0,1,0,0
William C. Houston,Constitution,no,1074.0,3,127.0,2
William Elliot,SC,yes,0.0,0,0,0
William Few,Constitution,yes,5.0,1,89,1
William Hall,DE,yes,1358.0,10,324.0,6
William Harper,NY,no,7.0,1,71,1
William Hart,CT,yes,903.0,8,181.0,6
William Heath,MA,yes,362.0,3,135.0,2
William Hill,SC,no,39.0,2,76.0,2
William Houston,NC,yes,1000.0,1,0,0
William Houstoun,Constitution,no,1000.0,1,0,0
William Hunt,NH,no,74.0,1,10,1
William Johnson,SC,yes,86.0,4,4,1
William Johnston,NC,yes,181.0,1,54.0,1
William Jones,MA,no,674.0,6,138.0,4
William Kennedy,SC,no,907.0,7,150.0,3
William King,NC,no,88.0,3,86.0,2
William L. Pierce,Constitution,no,15.0,1,22,1
William Livingston,Constitution,yes,6.0,1,45,1
William Martin,NC,no,112.0,2,75.0,2
William McKee,VA,yes,30.0,1,60.0,1
William Moore,DE,yes,401.0,8,262.0,6
William Morris,MD,yes,20.0,4,113.0,3
William Nash,NC,no,4.0,1,72.0,1
William Page,NH,no,169.0,2,145.0,2
William Paterson,Constitution,yes,30.0,2,90.0,2
William Patterson,Constitution,yes,24.0,1,30.0,1
William Phillips,MA,yes,70.0,1,0,0
William Porter,NC,yes,23.0,2,64.0,1
William Read,SC,yes,79.0,1,1.0,1
William Reed,SC,no,13.0,3,121.0,2
William Richardson,MD,yes,378.0,4,70.0,3
William Richardson Davie,NC,yes,378.0,4,70.0,3
William Robinson,NC,no,95.0,6,164.0,5
William Samuel Johnson,Constitution,yes,171.0,6,61.0,2
William Scott,SC,yes,211.0,3,22.0,1
William Shaw,MA,yes,264.0,8,214.0,6
William Simpson,NH,yes,224.0,3,112.0,2
William Smith,SC,yes,5848.0,22,519.0,15
William Stevens,GA,yes,94.0,3,31.0,2
William Thompson,MA,no,1341.0,4,102.0,2
William Todd,PA,no,36.0,2,39.0,1
William White,VA,no,721.0,12,383.0,10
William Williams,CT,yes,1227.0,12,354.0,8
William Wilson,PA,yes,0.0,0,0,0
Williams John,RI,no,1400.0,14,436.0,11
Zephaniah Platt,NY,yes,284.0,1,26,1
