,Full Name,state,Total
632,George Kauffman,VA,149.8
633,George L Lyler,PA,30.4
634,George Leib,PA,808.38
635,George Leonard,RI,400.0
636,George Loyall,VA,1221.42
637,George Ludlam,PA,613.33
638,George Marable,VA,1200.0
639,George Mason,VA,913.94
640,George McLutchin,NY,131.82
641,George Murdoch,VA,813.72
642,George Parker,SC,50.0
643,George Pickett,NC,3897.2200000000003
644,George Raymond,CT,55.11
645,George Scriba,NY,22434.01
646,George See,VA,110.43
647,George Service,NY,56450.9
648,George Simmerman,MD,39.6
649,George Stanley,NY,77.17
650,George Storer,NY,1968.88
651,George Stout,PA,1461.72
652,George Twyman,VA,303.0
653,George Von Hud,PA,242.37
654,George Wedge,MD,173.59
655,George Whitefield,GA,31.118266
656,George Wilbur,RI,121.2
657,George William West,MD,1276.5
658,George Yeast,MD,39.34
659,Gerardus Lansing,NY,1490.15
660,Gideon Freeborn,RI,81.48
661,Gilbert Grant,RI,3.36
662,Gilbert Robertson,VA,1082.88
663,Gilbert Saltonstall,NY,2379.56
664,Glen Drayton,SC,69.03
665,Godfrey Baker,PA,107.89
666,Gould Marsh,RI,12.5
667,Gray',VA,928.15
668,Greene',RI,304.71
669,Grindall Reynolds,RI,129.06
670,Gurdon Sattonstall,CT,669.02
671,Gustavus Colhoun,SC,4159.1
672,Guy Richards,CT,4819.12
673,H Johnson',NY,3002.76
674,Hanah Courtney,PA,120.66
675,Hanah Talbert,PA,1066.83
676,Hannah Benton,CT,164.09
677,Hannah Buck,PA,678.21
678,Hannah Cooke,CT,142.0
679,Hannah Dean,PA,1267.0
680,Hannah Dummer,NH,138.32
681,Hannah Fleisher,VA,117.61
682,Hannah Hay,PA,247.44
683,Hannah Hodge,PA,600.0
684,Hannah Huntington,CT,765.55
685,Hannah Middleton,PA,1188.98
686,Hannah Painter,CT,120.0
687,Hardy Murfree,NC,2176.66
688,Harmanus Alricks,MD,692.82
689,Hartshorne',VA,7711.39
690,Hary Grant,SC,425.0
691,Henrietta James,MD,1575.41
692,Henry Bailey,SC,49.99
693,Henry Bass,RI,362.03
694,Henry Brotbeck,MD,33.33
695,Henry Channing,CT,4929.91
696,Henry Collins Flagg,SC,2528.77
697,Henry Cuzzens,VA,79.17
698,Henry Downes,MD,189.56
699,Henry G Sothoron,MD,406.88
