,Full Name,state,Total
466,Hugh Swinton,SC,180.6
467,Hugh Williamson,NC,224.98
468,Hyam Levy,SC,13.23
469,Ichabod Cole,RI,181.24
470,Ichabod Nathup,RI,227.33
471,Ichabod Rollins,NH,325.71
472,Ignatius Fenwick,MD,5007.31
473,Ignatius Gardiner,MD,159.99
474,Ignatuis Fenwick,MD,3126.48
475,Imanuel Case,RI,327.85
476,Iq Smith,MD,396.44
477,Isaac Angell,RI,243.75
478,Isaac Bailey,RI,453.86
479,Isaac Coats,PA,87.7
480,Isaac Cole,NC,2461.78
481,Isaac DaCosta,SC,42.48
482,Isaac De Sesseline,SC,245.64
483,Isaac Gallup,CT,133.4
484,Isaac Gillet,VT,20.38
485,Isaac Manchester,RI,75.0
486,Isaac Moses,SC,753.1871
487,Isaac Motte,SC,80.61
488,Isaac Parker,SC,1028.65
489,Isaac Peace,SC,352.44
490,Isaac Pitman,RI,21.89
491,Isaac S  Keith,SC,3633.46
492,Isaac Tabor,RI,116.56
493,Isaac Wharton,PA,3935.55
494,Isaac Whipoo,NY,2664.18
495,Isabel Marchant,RI,662.4
496,Isacc Harleston,VI,3450.0
497,Isacc Hazelehurst,PA,233.74
498,Israel Gilbert,VT,20.38
499,Israel Gorton,RI,64.38
500,Israel Jacobs,PA,171.48
501,Israel Joseph,SC,3265.96
502,Israel Josephs,SC,39.7056
503,Israel Whelen,PA,9350.16
504,Jabez Bowen,RI,16142.27
505,Jabez Relph,RI,21.2
506,Jacob B Gurley,CT,122.53
507,Jacob Bankson,PA,100.0
508,Jacob Binder,PA,287.03
509,Jacob Blount,NC,55.55
510,Jacob C,PA,193.33
511,Jacob Cohen,SC,201.372
512,Jacob Gombar,MD,47.65
513,Jacob Graybell,MD,157.72
514,Jacob Holland,PA,295.6
515,Jacob Hovey,CT,300.0
516,Jacob Hubley,PA,860.16
517,Jacob Isaacs,RI,5.28
518,Jacob Keiser,PA,15.12
519,Jacob Kenner,PA,1105.46
520,Jacob Lawer,PA,300.0
521,Jacob Lawer Swyler,PA,3966.83
522,Jacob Martin,SC,73.2
523,Jacob Read,SC,104.1623
524,Jacob Sammer,PA,1359.04
525,Jacob Sawer,PA,5076.14
526,Jacob Schmyser,PA,10.27
527,Jacob Staes,PA,92.04
528,Jacob Starr,CT,28.62
529,James Arnold,RI,1839.63
530,James Boylan,PA,1200.0
531,James Bried,MD,97.45
532,James Bull,CT,1010.08
533,James C,PA,2666.86
534,James Congon,RI,1281.13
535,James Davenport,CT,691.5
536,James Fisher,SC,6430.06
537,James Gardner,RI,24.71
538,James Gordon,SC,124.23
539,James Helme,RI,435.81
540,James Kelso,MD,113.95
541,James Lyanh,SC,240.0
542,James Lyle,PA,1250.0
543,James Maccubbin Lingan,MD,4363.0
544,James Manning,RI,733.54
545,James McCall,SC,150.0
546,James McFarlane,PA,2703.42
547,James McGaw,MD,350.47
548,James O'Hara,PA,33.44
549,James Paulson,PA,40.47
550,James Prescott,CT,259.7
551,James Randall,RI,169.65
552,James Robinson,RI,22.81
553,James Sclatter,PA,656.16
554,James Sheafe,NH,289.97
555,James Somervell,MD,3074.75
556,James Theus,SC,1030.27
557,James Tomkins,RI,261.0
558,James Vanuxem,PA,6759.18
559,Jane Macom,MA,124.06
560,Jaques Voorhess,NJ,9410.09
561,Jared Lane,CT,16.88
562,Jasper Moylan,PA,1834.62
563,Jebediah Swan,NJ,455.84
564,Jecob Whitman,RI,147.71
565,Jedidiah Marcy,MA,147.71
566,Jehu Eldridge,PA,3045.01
567,Jennet Grier James Riddle,PA,8487.54
568,Jeremiah Atwater,CT,595.72
569,Jeremiah Cowles,CT,223.21
570,Jeremiah Dickinson,SC,124.99
571,Jeremiah F Jenkins,RI,1381.02
572,Jeremiah Jenckes,NH,252.41
573,Jeremiah Olney,RI,3251.68
574,Jeremiah Randall,RI,700.0
575,Jeremiah Scott,RI,141.2
576,Jeremiah Whipple,RI,1468.93
577,Jeremiah Willcox,CT,82.47
578,Jerijah Barber,CT,205.52
579,Jesse Bolles,CT,289.25
580,Jesse Dewees,MD,2482.88
581,Jesse King,RI,10.0
582,Jesse Root,CT,321.76
583,Jmaes Garvey,SC,57.43
584,Joanna Cady,CT,506.16
585,Joanna Jenkes,RI,189.34
586,Job Knight,RI,23.72
587,Job Randall,RI,700.0
588,Joel Blakeley,CT,45.84
589,Joel Prior,CT,216.25
590,John  Ingles,NC,1995.24
591,John  Markland,SC,199.08
592,John Allen,RI,174.46
593,John Almy,RI,46.56
594,John B  Petry,FR,6779.61
595,John B Hopkins,RI,1700.31
596,John Badon,MD,242.46
597,John Barron,SC,891.49
598,John Bolles,CT,451.64
599,John Briscoe,MD,7627.51
600,John Budlong,RI,76.25
601,John Campbell,NC,22.41
602,John Casey,MD,679.56
603,John Casper,VA,35.274366
604,John Chaffee,CT,101.55
605,John Champneys,SC,18.76
606,John Chesnut,SC,1325.0
607,John Child,RI,4269.55
608,John Clement,PA,3643.47
609,John Conter,MD,1013.97
610,John Council Bryan,NC,261.48
611,John Cunningham,SC,1047.65
612,John D,NJ,599.83
613,John Don,CT,522.81
614,John Dorrance,RI,690.16
615,John Drayton,SC,28.75
616,John Dupuy,PA,1426.93
617,John Dyson,MA,1100.0
618,John Ennes,CT,527.96
619,John Ernst,PA,41.8
620,John Euson,NC,29.33
621,John Ewing Colhoun,SC,69.33
622,John F,PA,5209.35
623,John F Grimke,SC,3385.77
624,John Faxon,RI,357.7
625,John Fitton,RI,419.0
626,John Foster,RI,17.28
627,John Gartley,PA,1495.98
628,John Guier,PA,3211.61
629,John Hadwin,RI,56.67
630,John Harbach,MA,155.76
631,John Harner,PA,1996.65
632,John Haywood,NC,25596.4
